;matchId;blue_win;blueGold;blueMinionsKilled;blueJungleMinionsKilled;blueAvgLevel;redGold;redMinionsKilled;redJungleMinionsKilled;redAvgLevel;blueChampKills;blueHeraldKills;blueDragonKills;blueTowersDestroyed;redChampKills;redHeraldKills;redDragonKills;redTowersDestroyed
0;3493250918;0;24575;349;89;8,6;25856;346;80;9,2;6;1;0;1;12;2;0;1
1;3464936341;0;27210;290;36;9;28765;294;92;9,4;20;0;0;0;19;2;0;0
2;3428425921;1;32048;346;92;9,4;25305;293;84;9,4;17;3;0;0;11;0;0;4
3;3428347390;0;20261;223;60;8,2;30429;356;107;9,4;7;0;0;3;16;3;0;0
4;3428350940;1;30217;376;110;9,8;23889;334;60;8,8;16;3;0;0;8;0;0;2
5;3494458885;1;25470;362;82;9,2;22856;319;86;8,8;9;1;0;0;7;1;0;0
6;3463320642;1;25391;350;96;9,2;23236;345;80;8,6;8;2;0;0;5;1;0;1
7;3463280042;0;28946;367;65;9,2;26528;311;63;8,8;15;2;0;1;14;1;0;1
8;3462718876;1;26928;379;80;9,6;23065;362;95;9,2;11;1;0;0;5;2;0;1
9;3462733928;1;26079;302;106;9;27275;347;91;9,4;9;1;0;1;10;2;0;1
10;3494594463;0;23215;307;70;9;26823;390;89;9;9;2;0;1;9;0;0;0
11;3464834050;1;27944;319;94;9;21329;311;84;8,8;13;3;0;0;4;0;0;1
12;3431783366;1;24979;364;107;9,4;26341;344;92;9,6;6;2;0;1;10;1;0;1
13;3399726949;0;23095;210;84;8;31472;344;115;9,2;10;0;0;4;15;3;0;0
14;3399742211;1;27466;341;97;8,8;23844;332;92;8,8;12;2;0;1;7;0;0;2
15;3501697287;1;26804;410;66;9,2;24590;388;95;9,4;6;2;0;0;6;0;0;2
16;3500141669;1;27754;372;102;9,6;24831;347;104;9,4;10;1;0;0;6;2;0;1
17;3497105469;0;23213;328;94;9;28497;381;100;9,8;6;2;0;1;13;1;0;0
18;3486983506;0;26523;338;99;9,2;27328;350;104;9,4;9;1;0;0;11;2;0;1
19;3485738231;1;33120;405;93;9,6;24330;309;66;8,6;19;2;0;1;7;1;0;3
20;3501065091;1;26300;399;67;9;22318;335;69;8,8;9;0;0;0;5;3;0;0
21;3501083417;1;30173;342;71;9,4;22061;319;59;8,4;18;3;0;0;6;0;0;2
22;3473329630;1;28783;366;96;9,4;24777;354;88;9;14;1;0;0;8;1;0;1
23;3473278600;1;26220;321;72;9,4;26277;300;93;9,4;15;2;0;2;10;1;0;0
24;3473277297;1;33839;272;82;9,2;22947;233;64;8,2;30;2;0;0;8;0;0;4
25;3511843782;0;27268;324;80;9,2;30316;319;89;9,4;15;0;0;2;15;2;0;0
26;3511789649;0;29587;279;20;8,8;30869;286;75;9;20;0;0;1;24;3;0;1
27;3511760297;0;26144;342;84;9,4;27653;336;85;9,4;12;1;0;1;14;1;0;0
28;3509254065;1;30055;310;84;9,8;25079;285;76;8,6;19;1;0;0;11;2;0;2
29;3494149817;0;23154;296;77;8,4;28260;326;79;9,2;7;0;0;1;17;3;0;0
30;3494046558;0;24011;341;94;9,2;22970;365;90;9;5;2;0;0;5;1;0;1
31;3494090896;0;29270;325;97;9,2;25944;375;76;9;16;3;0;1;7;0;0;3
32;3493995932;0;25334;327;82;8,8;28059;345;79;8,8;8;1;0;2;12;2;0;2
33;3493607949;1;25527;342;63;8,8;29973;380;83;9,6;11;3;0;1;16;0;0;0
34;3511127920;1;27773;314;107;9,2;27097;332;90;9,6;13;2;0;1;13;1;0;1
35;3497668973;0;24990;346;80;8,8;29843;329;84;9,2;6;2;0;3;17;1;0;1
36;3497666139;0;22103;323;74;9;28284;343;136;9,8;5;0;0;1;12;3;0;0
37;3497624204;0;26998;336;76;9,2;25556;349;88;9,4;11;3;0;0;9;0;0;2
38;3496822056;1;31559;338;81;9,6;25242;307;63;8,6;20;2;0;0;12;1;0;2
39;3501021356;0;24008;299;70;8,8;31545;389;68;10;10;1;0;1;23;1;0;0
40;3500889654;1;25790;330;88;9,2;27074;366;73;9;9;2;0;1;12;0;0;0
41;3500885194;1;29102;378;82;9;23064;331;75;8,6;14;1;0;0;6;1;0;2
42;3484012618;0;22140;281;60;8,4;35643;336;90;9,4;6;0;0;5;28;3;0;0
43;3483868150;1;32692;325;88;9,6;27039;315;81;9;23;2;0;0;13;0;0;2
44;3483885733;0;23610;262;63;8,4;32615;341;88;9,8;10;0;0;3;22;3;0;0
45;3480891936;0;24554;333;75;9;24499;364;60;9;10;2;0;0;9;0;0;0
46;3492383242;0;29310;343;72;9;26714;316;76;9,2;17;2;0;0;13;1;0;1
47;3491895162;0;22853;316;78;8,6;26931;328;89;9;3;1;0;1;10;2;0;1
48;3491941034;1;25037;347;98;9,6;26213;365;102;9,6;8;2;0;1;9;0;0;0
49;3491819302;1;26764;321;75;9,6;26616;334;73;9,2;14;1;0;0;14;1;0;0
50;3491856165;1;31640;344;116;9,4;27382;352;80;9,2;21;2;0;1;13;0;0;1
51;3510001811;1;28564;377;76;9,4;26364;348;95;9,2;13;1;0;1;7;2;0;1
52;3509827501;0;29155;364;80;9,8;27616;397;72;9,4;14;2;0;2;8;0;0;2
53;3509793404;0;24145;374;89;9,2;23858;365;85;9;4;3;0;0;6;0;0;0
54;3509708789;0;25566;340;90;9,6;26187;415;83;9,4;11;2;0;1;7;1;0;0
55;3509666027;0;23018;346;66;8,6;34381;363;108;10,2;7;0;0;3;21;3;0;0
56;3476451388;1;26160;340;82;9,2;28150;361;118;9,4;11;0;0;2;12;2;0;0
57;3476348905;0;27376;376;78;9,4;24585;323;74;8,8;9;1;0;1;9;1;0;1
58;3475658224;0;26821;395;68;9;25505;356;92;9;11;1;0;0;9;1;0;1
59;3475664368;0;24922;318;100;9,4;25445;355;69;9;8;1;0;0;10;2;0;0
60;3475589140;0;25184;310;76;8,6;25216;296;61;8,4;11;2;0;0;13;0;0;1
61;3510686713;1;25694;299;97;9,4;23235;287;86;9,2;10;3;0;0;8;0;0;1
62;3510723969;1;24284;351;89;9,2;23690;322;68;8,6;9;3;0;1;6;0;0;0
63;3509261680;0;23121;325;75;9;28480;391;87;9,6;6;0;0;0;15;3;0;0
64;3507464028;0;22902;297;64;8;30518;329;99;9,6;9;0;0;2;19;3;0;0
65;3506047908;1;32223;391;106;9,8;23279;361;72;9;15;2;0;0;5;0;0;3
66;3510199720;0;27214;376;76;9,2;28123;331;81;9,8;12;2;0;0;16;1;0;0
